№	УИК	Страна	Город	Число избирателей, включенных в список избирателей	Число избирательных бюллетеней, полученных участковой избирательной комиссией	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	Число погашенных избирательных бюллетеней	Число избирательных бюллетеней в переносных ящиках для голосования	Число бюллетеней в стационарных ящиках для голосования	Число недействительных избирательных бюллетеней	Число действительных избирательных бюллетеней	Число утраченных избирательных бюллетеней	Число избирательных бюллетеней, не учтенных при получении	Даванков Владислав Андреевич	Даванков Владислав Андреевич (%)	Путин Владимир Владимирович	Путин Владимир Владимирович (%)	Слуцкий Леонид Эдуардович	Слуцкий Леонид Эдуардович (%)	Харитонов Николай Михайлович	Харитонов Николай Михайлович (%)
1	8000	Абхазия	Сухум	2781	5000	73	2708	0	2219	73	2706	83	2696	0	0	34	1,22	2620	94,28	18	0,65	24	0,86
2	8001	Абхазия	Сухум	3189	4900	0	3189	0	1711	0	3189	47	3142	0	0	30	0,94	3068	96,21	12	0,38	32	1
3	8002	Абхазия	Сухум	3037	5200	646	2381	10	2163	656	2381	81	2956	0	0	39	1,28	2873	94,6	27	0,89	17	0,56
4	8003	Абхазия	Сухум	1626	4900	0	1626	0	3274	0	1626	34	1592	0	0	19	1,17	1554	95,57	8	0,49	11	0,68
5	8004	Абхазия	п. Цандрыпш	1915	4000	92	1823	0	2085	92	1823	58	1857	0	0	22	1,15	1787	93,32	18	0,94	30	1,57
6	8005	Абхазия	Гагра	1689	4000	344	1340	5	2311	349	1340	42	1647	0	0	40	2,37	1554	92,01	22	1,3	31	1,84
7	8006	Абхазия	Пицунда	1671	3000	0	1663	8	1329	8	1663	52	1619	0	0	35	2,09	1537	91,98	15	0,9	32	1,92
8	8007	Абхазия	пос. Бзыпта	983	3000	0	983	0	2017	0	981	33	948	0	0	13	1,33	930	94,8	1	0,1	4	0,41
9	8008	Абхазия	пос. Бамбора	2562	4000	1590	972	0	1438	1590	972	60	2502	0	0	51	1,99	2353	91,84	66	2,58	32	1,25
10	8009	Австралия	Канберра	624	1100	478	146	0	476	478	146	80	544	0	0	157	25,16	355	56,89	11	1,76	21	3,37
11	8010	Австралия	Сидней	1432	2000	492	940	0	568	492	940	190	1242	0	0	439	30,66	747	52,16	24	1,68	32	2,23
12	8015	Австрия	Вена	2278	2600	0	2278	0	322	0	2278	421	1857	0	0	991	43,5	774	33,98	28	1,23	64	2,81
13	8016	Австрия	Зальцбург	1437	1500	0	1437	0	63	0	1437	328	1109	0	0	757	52,68	303	21,09	9	0,63	40	2,78
14	8017	Азербайджан	Баку	3170	5000	1767	1401	2	1830	1769	1401	134	3036	0	0	451	14,23	2449	77,26	73	2,3	63	1,99
15	8018	Египет	Хургада	1304	2000	0	1304	0	696	0	1302	61	1241	0	0	215	16,51	962	73,89	32	2,46	32	2,46
16	8019	Абхазия	Гудаута	2363	4000	0	2363	0	1637	0	2363	79	2284	0	0	14	0,59	2250	95,22	4	0,17	16	0,68
17	8020	Алжир	Алжир	624	1400	213	384	0	803	213	384	12	585	0	0	25	4,19	525	87,94	16	2,68	19	3,18
18	8022	Ангола и Сан-Томе и Принсипи	Луанда	366	550	281	85	0	184	281	85	11	355	0	0	33	9,02	298	81,42	10	2,73	14	3,83
19	8023	Аргентина	Буэнос-Айрес	1616	2050	0	1616	0	434	0	1616	321	1295	0	0	887	54,89	337	20,85	23	1,42	48	2,97
20	8024	Афганистан	Кабул	132	500	0	130	0	370	0	130	0	130	0	0	4	3,08	120	92,31	1	0,77	5	3,85
21	8025	Афганистан	Хайратон	43	120	0	43	0	77	0	43	0	43	0	0	6	13,95	36	83,72	0	0	1	2,33
22	8026	Армения	Ереван	6969	30800	844	6125	0	23831	844	6125	967	6002	0	0	3474	49,85	2291	32,87	110	1,58	127	1,82
23	8027	Армения	Ереван	1000	1000	780	220	0	0	780	220	2	998	0	0	2	0,2	992	99,2	3	0,3	1	0,1
24	8028	Албания	Тирана	137	350	0	126	0	224	0	126	9	117	0	0	48	38,1	62	49,21	3	2,38	4	3,17
25	8030	Танзания	Дар-эс-Салам	80	150	0	80	0	70	0	80	2	78	0	0	4	5	71	88,75	2	2,5	1	1,25
26	8031	Армения	Гюмри	1331	13200	318	1002	2	11878	320	1001	87	1234	0	0	405	30,66	768	58,14	32	2,42	29	2,2
27	8032	Армения	Гюмри	1249	1800	0	1247	2	551	2	1247	0	1249	0	0	1	0,08	1238	99,12	6	0,48	4	0,32
28	8033	Армения	Гюмри	913	1200	0	913	0	287	0	913	0	913	0	0	1	0,11	903	98,9	6	0,66	3	0,33
29	8035	Туркменистан	Ашхабад	1845	3200	0	1825	20	1355	20	1825	13	1832	0	0	26	1,41	1758	95,28	16	0,87	32	1,73
30	8036	Бангладеш	Дакка	4211	5000	3950	112	2	936	3946	112	178	3880	0	0	446	10,99	2946	72,6	243	5,99	245	6,04
31	8038	Бахрейн	Манама	146	450	0	146	0	304	0	146	4	142	0	0	21	14,38	115	78,77	2	1,37	4	2,74
32	8039	Бельгия	Брюссель	1543	5100	0	1531	12	3557	12	1530	278	1264	0	0	476	30,87	711	46,11	35	2,27	42	2,72
33	8041	Бенин и Того	Котону	101	150	30	71	0	49	30	71	2	99	0	0	12	11,88	84	83,17	1	0,99	2	1,98
34	8042	Белоруссия	Минск	6195	10000	379	5805	11	3805	390	5799	150	6039	0	0	647	10,45	5172	83,57	81	1,31	139	2,25
35	8043	Белоруссия	Брест	1611	3000	0	1593	18	1389	18	1591	18	1591	0	0	88	5,47	1445	89,81	27	1,68	31	1,93
36	8045	Белоруссия	Витебск	1573	2000	0	1571	1	428	1	1568	20	1549	0	0	72	4,59	1422	90,63	18	1,15	37	2,36
37	8046	Белоруссия	Гомель	1875	3000	280	1590	5	1125	285	1589	24	1850	0	0	51	2,72	1731	92,37	28	1,49	40	2,13
38	8047	Белоруссия	Могилев	1007	3000	0	994	13	1993	13	994	9	998	0	0	38	3,77	931	92,45	13	1,29	16	1,59
39	8048	Белоруссия	Клецк-2	656	1000	0	599	57	344	57	599	54	602	0	0	4	0,61	593	90,4	3	0,46	2	0,3
40	8050	Болгария	София	1846	5000	0	1846	0	3154	0	1842	177	1665	0	0	516	28,01	1104	59,93	19	1,03	26	1,41
41	8053	Боливия	Ла-Пас	92	300	0	92	0	208	0	92	2	90	0	0	12	13,04	72	78,26	4	4,35	2	2,17
42	8054	Босния и Герцеговина	Сараево	158	250	46	112	0	92	46	112	3	155	0	0	25	15,82	122	77,22	5	3,16	3	1,9
43	8055	Ботсвана	Габороне	34	50	0	34	0	16	0	34	1	33	0	0	7	20,59	25	73,53	0	0	1	2,94
44	8056	Бразилия и Суринам	Бразилиа	156	400	0	156	0	244	0	156	9	147	0	0	26	16,67	110	70,51	3	1,92	8	5,13
45	8057	Бразилия и Суринам	Рио-де-Жанейро	133	500	0	133	0	367	0	133	14	119	0	0	43	32,33	61	45,86	7	5,26	8	6,02
46	8058	Бразилия и Суринам	Сан-Паулу	193	500	0	191	0	309	0	191	28	163	0	0	61	31,94	96	50,26	3	1,57	3	1,57
47	8059	Бруней	Бандар-Сери-Бегаван	32	100	0	32	0	68	0	32	1	31	0	0	13	40,63	12	37,5	2	6,25	4	12,5
48	8060	Бурунди	Бужумбура	38	80	0	38	0	42	0	38	0	38	0	0	4	10,53	33	86,84	0	0	1	2,63
